index,ep_summary,air_date,ep_nums,ep_title,episode,season,year,MoveFromCity,MoveFromCountry,MoveToCity,MoveToCountry,NumBlanks,Origin,Destination,GeoCategory,loc_info_orig,loc_info_dest,latitude,longitude
61,"Sutiya Shingleton came to study in England by herself when she was only 16 years old. She quickly adapted to English life and began to lay down roots. She literally bumped into Ben and the rest is history. The couple married and settled in his native Essex where they've raised their son, Aiden. But now a business opportunity in Thailand will uproot the young family from England. Sutiya's family hopes Ben can expand their established landscape business to include expats that reside in Hua Hin- but relocating so far away also means saying goodbye to family and risking their stable jobs in England for a more relaxed lifestyle in Hua Hin. With more and more foreigners moving to Thailand, the real estate business is booming. So, they'll need Flemming Bo Sorenson's help to navigate Thai real estate. Will Flemming be able to balance Sutiya's need to be close to amenities with Ben's preference to be walking distance to the beach? Or will they have to reconsider how far from the city center they can live. Find out when House Hunters international takes root in Hua Hin, Thailand.",20-Mar-12,S34E11,"Taking Root in Hua Hin, Thailand",11.0,34.0,2012.0,Essex,England,Hua Hin,Thailand,0,"Essex, England","Hua Hin, Thailand",All,"University of Essex, Boundary Road, CO7 9HU, Boundary Road, Colchester, England, United Kingdom","Hua Hin, 77110, Prachuap Khiri Khan Province, Thailand",51.87703035,0.9500788585686786
63,"Rick and Melanie are both physician's assistants in Atlanta, Georgia and met each other at work. After falling in love, their conversations turned towards how much they'd both like to leave the big city for a simpler, quieter way of life. When Melanie got an email about a new position in Guam, she was already pregnant with their first child and decided to recommend Rick, who got the job. Now they're off to Guam to live a less stressful life where Rick gets to work fewer hours and spend more time at home. Finding their new home in Guam won't be easy, as Melanie dreams of living close to the beach while Rick is more concerned with living close to work so he can spend more time with Melanie and the new baby. Real estate agent Nicole will have to get one of them to give in as finding a home that has everything on their wish list will be next to impossible. Find out if they can both get what they want or if someone's got to make a sacrifice as House Hunters International visits Guam.",12-Mar-14,S64E04,Keep Guam and Carry On,4.0,64.0,2014.0,Atlanta,United States,Guam,United States,0,"Atlanta, United States","Guam, United States",All,"Atlanta, Georgia, United States","Guam, United States",33.7489924,-84.3902644
64,"Rob and Lisa Acker are ready to trade in their suburban Cincinnati life for a foreign adventure - and give their 3 sons a global experience. When Lisa gets a job at an interntaional school in Hong Kong, the family is on their way! But the house hunt leaves them wondering if they can give up the familiar American amenities or dive headfirst into Hong Kong living. The skyscraper city's sky-high prices are the most expensive in the world...so the Ackers decide to rent instead of buy. They are looking for a 3 bedroom home, with a view, close to both the school and work. But even with an ample budget of $6500 dollars a month, finding everything they want in a Hong Kong home is a challenge. Luckily, real estate agent Tania Schnuppe knows the dos, don'ts and dollar signs of Hong Kong's thriving real estate market. But will finding a house in unfamiliar territory give the Ackers a new perspective or have them longing for the comforts of home? Find out when House Hunters International scales the world's most vertical city - Hong Kong.",3-Mar-11,S23E03,Going global in Hong Kong,3.0,23.0,2011.0,Cincinnati,United States,Hong Kong,China,0,"Cincinnati, United States","Hong Kong, China",All,"Cincinnati, 45202, Ohio, United States","Hong Kong, Hong Kong, China",39.1014537,-84.5124602
65,"Park City native Chelsea Christensen fell in love with a dashing Italian ski instructor named Pier. When his family business in Torino came calling, he asked her to move with him. and of couse, she said yes. But this move isn't just for love. In fashion forward Italy, Chelsea plans to open a online vintage clothing business. When she arrives, she's shocked to find that the cars go fast and the living is cramped. And the housing prices? Very high. Finding space for just her and Pier will be tough, but when you throw in her clothing business, things get interesting in this ancient city. Even Pier is shocked at the slanted ceilings, tiny bedrooms, and expensive prices his native city has to offer. Real Estate Agent Simone Sambin has the tough task of sorting through Torino's unique apartments to find a space in the middle of everything that fits Chelsea's wish for space and Pier's wish for parking...all at $740,000 budget. Will they uncover their dream home or settle for less? Find out when House Hunters heads to the bustling city of Torino, Italy.",10-Apr-11,S22E10,"Taking off to Torino, Italy",10.0,22.0,2011.0,"Park City, Utah",United States,Torino,Italy,0,"Park City, Utah","Torino, Italy",All,"Park City, Utah, United States","Turin, Piedmont, Italy",40.6460921,-111.4979963
66,"After being offered a job in Antigua, helicopter engineers Tanner and his wife, Shari began traveling back and forth from Ontario, Canada to the Caribbean island. Now that Tanner has decided to stay on the job full-time, they're making the move permanent. With this move, Shari has given up her career and will be a stay-at-home mom to their two boys. Having already sold their house in Canada, they are living temporarily in a small, one bedroom rental apartment until they find a suitable house to purchase. As Shari is starting to feel very cramped in the rental unit, she especially is anxious to find a spacious home for the family. One of the caveats in the house hunt is locating a home not only big enough for the family but with waterfront dockage for their beloved sailboat. Will they find all of this on a single-income budget in the competitive Caribbean real estate market? Or will they be forced to compromise? Real estate agent Adam Barrett will guide them through their options as House Hunters International sails to the Caribbean island of Antigua.",9-Feb-12,S32E07,Canadians in the Caribbean,7.0,32.0,2012.0,Ontario,Canada,Antigua,Antigua and Barbuda,0,"Ontario, Canada","Antigua, Antigua and Barbuda",All,"Ontario, Canada","Antigua and Barbuda, Antigua and Barbuda",50.000678,-86.000977
67,"American in Paris, Laura missed her return flight home. That mistake started a chain reaction that would lead her to meet her future husband, Ben. She stayed in Paris and now the now they have two toddlers. For many years, the young family has been living in a cramped apartment in a neighborhood with none of the charm of Parisian village life, but they had a goal to save $4 million dollars to purchase the home of their dreams. Despite the fast moving Paris market, there is a shortage of apartments, creating a high demand and high housing costs. They will need real estate agent Kerstin Bachmann to hit the ground running in search of a property that encompasses their needs: space, budget, and location. Laura longs for a spacious home with classic turn-of-the-century details, but practical Ben just wants to stay within budget. Will Kerstin be able to find a home that meets all this criteria, or will the young couple have to temper their expectations. Find out when, House Hunters International moves up to live the Parisian life? in Paris, France.",24-Feb-12,S33E06,"Moving Up in Paris, France",6.0,33.0,2012.0,Paris,France,Paris,France,0,"Paris, France","Paris, France",All,"Paris, 75000;75001;75002;75003;75004;75005;75006;75007;75008;75009;75010;75011;75012;75013;75014;75015;75016;75017;75018;75019;75020;75116, Paris, Ile-de-France, France","Paris, 75000;75001;75002;75003;75004;75005;75006;75007;75008;75009;75010;75011;75012;75013;75014;75015;75016;75017;75018;75019;75020;75116, Paris, Ile-de-France, France",48.8588897,2.3200410217200766
69,"Emma's fashionista and party girl persona was fine as an escape from her nine to five office job, but now that she's grown tired of it, she is ready to drastically simplify things. It took only a quick search for Emma to decide on the polar opposite of Leeds in Mission Beach, Australia. The lure of living beachfront immediately drew her in, but making this move without much planning or even a job waiting for her there is definitely a risky venture. Fortunately for Emma, she has found Jasmine Baker, a local chef, as a roommate to help ease the transition. The one thing Jasmine may have a difficult time with is how they will be able to afford a spacious apartment that equally fits her wishes for a big kitchen with Emma's unwavering desire for living seaside. Will they be able to find a place that will please them both at their $1,500 a month budget or is their new friendship already starting out in rough waters? Find out when House Hunters International takes in the unblemished beauty of Mission Beach, Australia.",18-Dec-12,S46E10,"No Worries in Mission Beach, Australia",10.0,46.0,2012.0,Leeds,England,Mission Beach,Australia,0,"Leeds, England","Mission Beach, Australia",All,"Leeds, England, United Kingdom","Mission Beach, 4852, Queensland, Australia",53.7974185,-1.5437941
70,"Sachiko runs her dance troupe from her home in Suva, Fiji, the nation's capitol. While she loves being a choreographer and dancer, she finds living and working in the same space too much. She yearns to have a peaceful space where she can allow her creative juices to flow. So, she wants to buy a vacation home in a small beach community called Savusavu. While she plans on keeping her Suva home to train her dancers, she wants the Savusavu home to be a holiday home for family gatherings and a creative compound for artists and dancers. She's looking for a very specific type of home. It needs to have enough space to dance and enough bedrooms for her family to stay. Even though she has saved money to buy her first home, her parents are also helping her out. So, she has to stick to her $500,000 budget. Nervous about spending so much money, she's bringing her best friend Pat along to help her house hunt. To help her find a place to suit her very specific needs is Will Roadhouse.",24-Jun-10,S14E10,Sachiko Wants To Get Away From Her Busy Life as a Choreographer By Buying a Vacation Home in a Small Beach Town in Fiji,10.0,14.0,2010.0,Suva,Fiji,Savusavu,Fiji,0,"Suva, Fiji","Savusavu, Fiji",All,"Suva, Central, Fiji","Savusavu, Northern, Fiji",-18.1415884,178.4421662
74,"College sweethearts Kate &amp; Mike Coyne were born and bred in New Jersey and have been married for 3 years. Once out of college, they decided to move to the beach town of Belmar, New Jersey since they love the beach and outdoor activities like surfing, kayaking, biking and running. The one thing they don't like about living on the east coast is the harsh winters. They say they only have half the year to spend outside and the other half hibernating indoors. With nothing tying them down, they felt the time is now to make a move. A few years earlier they spent a holiday in Puerto Rico and realized it could be a great place to live. They've now chosen San Juan as their future home since it has year round tropical weather. Mike and Kate are always adventurous. Any opportunity to try something new, they jump at it. But will they be able to find a beach side property within their limited budget? Find out as House Hunters International soaks into sunny San Juan, Puerto Rico.",13-Jun-12,S39E04,"Soaking Up the Sun in San Juan, Puerto Rico",4.0,39.0,2012.0,"Belmar, New Jersey",United States,San Juan,Puerto Rico,0,"Belmar, New Jersey","San Juan, Puerto Rico",All,"Belmar, New Jersey, United States","San Juan, Puerto Rico, United States",40.1784471,-74.0218037
76,"Not ready to completely give up the lives they built in the U.S. over the last eighteen years, Californians Bee and Kien are buying a second home in Penang in order to raise their son Gareth with a connection to his Malaysian roots. Bee wants the newest generation of the family to grow up around all his cousins, aunts and uncles while at the same time be close to the family they miss as well. Being a food blogger about Asian cooking, Bee also notices this as an opportunity to be able to explore the recipes of her homeland straight from the food preparers and purveyors that make Penang the epicenter of Malaysian cuisine. They unfortunately are coming up against a real estate market that is as fast paced as the lifestyle of this rapidly expanding, diverse urban landscape. Even with their $400,000 budget, it still may not be enough to create the perfect blend of city center living at an affordable price. Find out when House Hunters International reunites with the Pearl of the Orient, Penang, Malaysia.",27-Jun-12,S40E08,"Family Reunion in Penang, Malaysia",8.0,40.0,2012.0,California,United States,Penang,Malaysia,0,"California, United States","Penang, Malaysia",All,"California, United States","Penang Island, Malaysia",36.7014631,-118.755997
77,"Bob and his wife Monique have grown weary of cold winters in Frederick, Maryland and have set their sights south to Playa del Carmen, Mexico, one of their favorite vacation spots. They're not only considering buying a second home there, but they'd also like to expand their home restoration business to an international level. Finding the perfect second home won't be a walk on the beach as husband and wife have conflicting priorities. Bob, who manages the projects they take on, is more of a beach bum and wants to live near the ocean, while Monique, who heads up the planning and organization of projects and also runs a bed and breakfast out of their home on the side, is more interested in living near Playa del Carmen's many shops, restaurants and cafes. Further complicating matters is Bob and Monique's strict budget which will make getting everything on their wish lists a challenge. Watch House Hunters International to see if they find their heavenly hacienda or if reality falls short of their expectations in Playa del Carmen, Mexico.",22-May-13,S52E12,Playa Con Dios,12.0,52.0,2013.0,"Frederick, Maryland",United States,Playa del Carmen,Mexico,0,"Frederick, Maryland","Playa del Carmen, Mexico",All,"Frederick, Maryland, United States","Playa del Carmen, Quintana Roo, Mexico",39.415779,-77.4127562
78,"Doug and Lindy Freeman had the dream of moving to St. Croix for many years. They were making a decent living back home in California, but are quick to disclose that they were not rewarding themselves for the hard work they were doing. They saved everything they could and cut back as much as possible. Finally, with saving and living ""way below our means,"" they were able to move to St. Croix. They sold everything they owned and are now renting a home on the island. The Freemans now want to buy a single family home with a guest cottage or apartment so that their friends and family have a place to stay when they visit. They also want this guest space ready for an expansion as the kids get older and need more room to grow. They hope realtor Ness Fennessey can deliver. Only problem is, Doug wants to pay cash and even though the family has saved up, the Freeman's still don't have enough in the budget for everything they want in their island paradise.",14-Oct-09,S15E02,Virgin Island Paradise (California to St. Croix),2.0,15.0,2009.0,California,United States,St. Croix,United States,0,"California, United States","St. Croix, United States",All,"California, United States","Saint Croix, United States",36.7014631,-118.755997
79,"Todd and Allison Nevins are looking for a lifestyle change. After years of saving, they've decided to sell their Dallas home, and everything in it, for a fiesta-filled fresh start in vibrant Merida, Mexico. Merida is the perfect locale for them to relax, while allowing Todd to run his internet businesses from home. They hope their $335,000 in savings can afford them everything they want in their dream hacienda - 3 bedrooms, a pool, a backyard for their dog, a colonial facade and a garage - all located close to the historic downtown center. But the couple has not yet sold their Dallas home and aren't sure if their life savings are enough to buy a place in Mexico's cash-only system. Real estate agent Keith Heitke attempts to show the couple properties that satisfy their requirements, but keeping it within their budget is tough. Will the house hunt be the fiesta they've imagined or will Todd and Allison be pinching pesos every step of the way? Find out when House Hunters International returns to historic Merida, Mexico.",22-May-11,S22E12,"Fiesta-filled living in Merida, Mexico",12.0,22.0,2011.0,Dallas,United States,Merida,Mexico,0,"Dallas, United States","Merida, Mexico",All,"Dallas, Texas, United States","Mérida, Yucatán, Mexico",32.7762719,-96.7968559
82,"Paul St. John, an American software executive, and Meinhard St. John, a part-time actor and model, met in Chicago seven years ago. One and a half years later, they relocated to Stockholm, Sweden for Paul's work. Now that they have decided to adopt a child, they are moving to the affluent suburb of Hellerup, Denmark to be closer to Meinhard's family and many mutual friends. Located just four miles north of Copenhagen, Hellerup is surrounded by green parks, woods and beaches - making it one of the most desirable places to live. With a budget of two million dollars, the couple are confident that realtor Christian van der star Byskov will find them a family-friendly home with all the features they desire. The long wish list includes four bedrooms, at least two bathrooms, nanny quarters, a great kitchen with open floor plan and a nice location close to good schools and parks. Will Paul and Meinhard overcome their stubborness and strong opinions to find the perfect house? Find out when House Hunters heads to Hellerup, Denmark.",19-Jun-11,S25E03,"Family-friendly living in Hellerup, Denmark",3.0,25.0,2011.0,Stockholm,Sweden,Hellerup,Denmark,0,"Stockholm, Sweden","Hellerup, Denmark",All,"Stockholm, 111 29, Sweden","Hellerup, 2900, Gentofte Municipality, Capital Region of Denmark, Denmark",59.3251172,18.0710935
83,"As a kid, Tom Reddaway learned as many languages as he could, hoping one day they would help him break out of London. The plan worked. While traveling through Brazil, he happened up on Rio de Janiero, a pretty lady named Rafaela, and an up and coming neighborhood called Santa Teresa. The turn of the century colonial architecture captured his imagination and he vowed to make a home here. But buying in Brazil isn't easy. It's rapidly developing ecnonomy often shuts out foreign money with high exchange rates and taxes. Tom saved up $400,000 in cash, and hoping it would be enough, set out with real estate agent Pedro Villela to find his perfect fixer-upper. But there's one thing he didn't count on - girlfriend Rafaela isn't totally on board with living in a run down diamond in the rough. Will Tom find a home both he and Rafaela can be happy in? Or will Brazil's exchange rate prove too costly? Find out when House Hunters International dances into the exciting city of Rio de Janeiro.",25-Jul-11,S26E05,"Hot property in Rio de Janeiro, Brazil",5.0,26.0,2011.0,London,England,Rio de Janeiro,Brazil,0,"London, England","Rio de Janeiro, Brazil",All,"London, England, United Kingdom","Rio de Janeiro, Rio de Janeiro, Brazil",51.5073359,-0.12765
84,"Bill, a physician, and Barb, a stay-at-home mother have a large, unique family of 6 kids. For the past 10 years they have been raising the children on an 83 acre farm in rural Kentucky. Even while in medical school though Bill always dreamed of living in New Zealand because the beauty of the country and its' universal healthcare system has always appealed to him. Now that it is financially feasible and he has secured a job working for the New Zealand government's healthcare agency, the entire family is packing up and moving to the small seaside city of New Plymouth, New Zealand. This large family of eight are taking a big step moving from the large farm to the city center of New Plymouth but are looking forward to being just blocks from the beach and immersing themselves in the new culture. With a wish list of 4 to 5 bedrooms and 3 bathrooms, the greatest challenge will be finding a house big enough to fit the entire family while trying to remain within budget.",9-Oct-11,S27E09,A Family of 8 Relocates to New Zealand,9.0,27.0,2011.0,Kentucky,United States,New Plymouth,New Zealand,0,"Kentucky, United States","New Plymouth, New Zealand",All,"Kentucky, United States","New Plymouth, 4310, Taranaki, New Zealand",37.5726028,-85.1551411
85,"Paige &amp; Michael are a young couple with a 7 month old baby daughter named Ada. They've always lived in Provo, Utah but are now flipping things around with a move to the cosmopolitan city of Bologna, Italy. Michael's itchy feet have led him back to school for a degree in international relations. And where better to study than the medieval Italian college city of Bologna. The city is stunning but the old world architecture will be a challenge for this young family used to space and convenience. Will real estate agent Renata Pala be able to find them what they're looking for, especially on a student budget? Both Paige and Michael have lived abroad for a couple of months in the past, but have never made a long term move away from their home city. They'll be leaving all their home comforts behind to go on this adventure. Will they get an A plus on their house hunt? Or face expulsion for not passing the test? Find out when House Hunters enrolls in Bologna, Italy.",10-Feb-12,S32E08,"Hitting the books in Bologna, Italy",8.0,32.0,2012.0,Provo,United States,Bologna,Italy,0,"Provo, United States","Bologna, Italy",All,"Provo, Utah, United States","Bologna, Emilia-Romagna, Italy",40.2337289,-111.6587085
87,"Miguel and Runi Valenzuela met in college, fell in love, and married 9 months later. After 2 kids, their life in Miguel's hometown of San Diego was comfortable. But when he lost his job as an engineer, Runi decided it was time to test the waters 5300 miles away amongst the fjords in her hometown of Drammen, Norway. With Miguel's new job starting soon, his family's transition needs to be quick and easy. But Norway's fast paced auction style market won't do them any favors. Here, all bids are final. Before they place a bet, they must make sure their $700,000 budget is being spent wisely. Agent Ragnhild Haaning quickly guides them through 3 options - one close to town but stuck in the 60's; one brand new expensive one further out; and fixer upper way under budget. The Valenzuela's must quickly decide if they want to spend more now or renovate later before they place a bid they can't take back. Its buyer beware, when House Hunters International test the waters in Drammen, Norway.",7-Dec-11,S28E13,"Testing the waters in Drammen, Norway",13.0,28.0,2011.0,San Diego,United States,Drammen,Norway,0,"San Diego, United States","Drammen, Norway",All,"San Diego, California, United States","Drammen, Norway",32.7174202,-117.1627728
88,"Sasha Steiner met a dashing Frenchman in Portland, Oregon. But Brian was only in town for a year. Not wanting to lose the relationship, she decided to pack up 2 suitcases and head to his tiny hometown of Genas, France. Now they're living with Brian's parents in his childhood bedroom, but these students don't plan to stay for long; they're heading to nearby Lyon to finish school. Brian's worried their different cultures will clash as they look for their first home together. Agent Luc Grange hopes he can find a rental in their $1100 dollar budget that meets their specfiic wishes - close to school in the center of town, a nice living room for Brian, and a big kitchen for aspiring chef Sasha. But in France's second largest city, space isn't cheap. Sasha and Brian will have to decide what's more important - being close to school or having the space of their dreams. For this young couple, agreement doesn't come easy...or cheap. School's in session, when House Hunters International studies in Lyon, France",2-Jan-12,S31E06,"Higher Learning in Lyon, France",6.0,31.0,2012.0,Genas,France,Genas,France,0,"Genas, France","Genas, France",All,"Genas, 69740, Auvergne-Rhône-Alpes, France","Genas, 69740, Auvergne-Rhône-Alpes, France",45.7330585,4.9965605
89,"Mel, single mother of two, born and bred on the small island of Norfolk has met the man of her dreams and is now giving up island life and moving with her children to be with him in the big city of Brisbane, Australia. While Mel was on vacation in Brisbane to see her mom, she met Nathan and fell in love. After a few trips to Brisbane and a long distance relationship, Mel is now packing up her Island life and moving to the big smoke. Norfolk Island has a population of only 1800, has no traffic lights and is only 14 square miles in size. Brisbane has a population of over 2 million! Mel is excited but also nervous as she has only known Nathan for a short time and is worried for the safety of her children moving to the city. Will Mel survive the house hunt in the booming metropolis of Brisbane? Or will she run back to her tropical paradise? Find out when House Hunters International rolls into Brisbane, Australia.",19-Mar-12,S34E04,"A Norfolk Island Family Moves to Brisbane, Australia",4.0,34.0,2012.0,Norfolk Island,Australia,Brisbane,Australia,0,"Norfolk Island, Australia","Brisbane, Australia",All,"Norfolk Island, Australia","Brisbane City, Queensland, Australia",-29.0328038,167.9483137
90,"Who's the boss?  When they met, Kristen was Raquel's boss at work.  But in their marriage, Raquel is the boss.  That's good because she's spoiled and likes things her way.  Raquel's a wild card and Kristen is the keep it real voice of reason.  Kristen's the budget minded one who is thinking practicality when it comes to the location of their new home in Ambergris Caye, Belize.  Having sold the whole kit and caboodle to make this a permanent move from frigid Minnesota, they have test driven this island as much as possible as visitors over the past 6 years, but will that translate to the same fun and good times when they are residents?  After living off their nest egg for one year until they get their residency, what will they do to earn a living on the island?  Will they even be able to come to a meeting of the minds when it comes down to which house to live in?  Well, if I told you that would kinda spoil it, wouldn't it?",13-Jun-16,S93E11,"Hard to Please, In Belize",11.0,93.0,2016.0,Minnesota,United States,Ambergris Caye,Belize,0,"Minnesota, United States","Ambergris Caye, Belize",All,"Minnesota, United States","Ambergris Caye, Belize",45.9896587,-94.6113288
91,"Linda dropped a bomb shell on her boyfriend Mitch when she told him about a job offer she landed in Bangkok, Thailand. Mitch is dedicated to the relationship and managed to pull some strings at work to be able to join her on this exciting adventure of a life time. Now the two are headed to Thailand to hunt for apartments together. Since they've never actually shopped for a place together they are quickly realizing their differences in wants and style. Linda is less concerned with minute details and more focused on living close to her new job. Mitch is an experienced property owner and is more focused on style and layout. To help mediate the debate they've hired professional realtor Joshua ""Cobby"" Leathers. He represents both single family homes for rent and modern high-rise apartments. Cobby will do his part, but at the end of the day, Mitch and Linda will need to hash out their differences before settling on the best place to live. All when House Hunters travels to Bangkok, Thailand.",24-Feb-10,S16E11,Providence Couple Hunts for Their First Apartment in Bangkok Thailand,11.0,16.0,2010.0,Providence,United States,Bangkok,Thailand,0,"Providence, United States","Bangkok, Thailand",All,"Providence, Rhode Island, United States","Bangkok, 10200, Bangkok, Thailand",41.8239891,-71.4128343
93,"Susan is fed up with her busy life as a paramedic in Glasgow and looking for a permanent vacation far away from the stresses of city life. After visiting the magical region of Puglia, Italy for years, she's finally making the leap from tourist to resident. The native whimsical architecture, known as Trulli, caught her eye and Susan's wants to her own cluster to call home. Susan's wish list is long - 2 bedrooms, 2 bathrooms, space for her large furniture and a pool with a view. If anyone can check all the boxes, it will be Real Estate Agent and Trulli specialist Gabriella Dragone. But once Susan makes the 1400 mile journey with best friend Louise, she discovers that the price of owning one of these pieces of history is higher than her $225,000 budget and aren't quite as ""move-in ready"" as she'd hoped. It turns out, this hopeful newcomer might have to shell out a little more cash to really live ""La Dolce Vita"", when House Hunters heads to enchanting Puglia, Italy.",3-Feb-11,S21E12,"A Trulli Happy Life in Puglia, Italy",12.0,21.0,2011.0,Glasgow,England,Puglia,Italy,0,"Glasgow, England","Puglia, Italy",All,"Glasgow How, DL12 9RH, Bowes, England, United Kingdom","Puglia, Italy",54.5184307,-2.1257256
95,"After a whirlwind romance, mid-westerner Rose and Turkish native Devrim move back to his hometown of Izmit, to be close to his family, The couple and their two young children have been living with his parents. But now, with $80,000 saved, they are more than ready to find place of their own. While Rose really wants her independence from Devrim's parents, she is also finding theadjustment to a new culture and language a little tough. The seaside locale of Izmit is a thirving industrial town close to Istnabul, but a devastating earthquake in 1999 left many properties in need of repair. The couple hopes to find a 3-bedroom, earthquake- proof property, with nice views and that is close to Devrim's job. Real estate agent Cindy has her work cut out for her fulfilling that criteria within their budget - and that is move-in ready. Will budget concerns, unexpected repairs and strangeTurkish amenties keep this couple from finding a place of their own? Find out when House Hunters International travels to Izmit, Turkey.",10-Feb-11,S21E13,"Izmit, Turkey",13.0,21.0,2011.0,Izmit,Turkey,Izmit,Turkey,0,"Izmit, Turkey","Izmit, Turkey",All,"İzmit, Kocaeli Province, Turkey","İzmit, Kocaeli Province, Turkey",40.7718818,29.9497846
96,"After attending university, Chi landed a job in Cambridge, Massachusetts that most grads would envy. At twenty-three years old, she had a lucrative job in the corporate world, managing accounts for high profile businesses. But, despite her achievements, Chi felt unfulfilled. Born in Nigeria and raised in the U.S., Chi had always been drawn to Africa and dreamed of living and working on the continent. Taking a leap of faith, she quit her job and accepted a position at a teaching academy in Johannesburg, South Africa. When Chi first arrived, she was given the opportunity to live on the school's campus. A few months have passed, and now Chi's ready to move out on her own. But, she can't leave the dormitory until she finds a furnished apartment that's close to her work. And, with young professionals arriving in Johannesburg every day, affordable rentals are hard to come by. She hopes that she isn't destined to dorm life forever. Find out when House Hunters International gets schooled in Johannesburg, South Africa.",9-May-13,S53E05,"Exploring the Real Estate Jungle of Johannesburg, South Africa",5.0,53.0,2013.0,Boston,United States,Johannesburg,South Africa,0,"Boston, United States","Johannesburg, South Africa",All,"Boston, Massachusetts, United States","Johannesburg, 2001, Gauteng, South Africa",42.3554334,-71.060511
98,"With successful careers and a house in Brooklyn, New Yorkers Noah Edelblum and Leigh Shulman were happy with their version of the American dream. Then came daugher Lila, and the city they once loved became a tight fit for this family of three. They decided to leave the city behind and travel the world. 3 years later, they landed in Salta and the rest was history. This small city in the Northern tip of Argentina offers the family friendly atmosphere they were craving. But its growing fast and so are home prices. With a $300,000 budget and construction around every corner, Real Estate Agent Ramiro Costa has a tough challenge to find this family a home that offers both access these New Yorkers need and the slower pace they desire, especially when Leigh and Noah aren't on the same page. With options both convienient and remote, old and new - what will the couple have to compromise to finally set roots? Find out when House Hunters International discovers Salta, Argentina.",23-Nov-11,S28E09,"Permanent Sabbatical in Salta, Argentina",9.0,28.0,2011.0,Brooklyn,United States,Salta,Argentina,0,"Brooklyn, United States","Salta, Argentina",All,"Brooklyn, New York, New York, United States","Salta, Salta, Argentina",40.6526006,-73.9497211
100,"Bill and Chrissie met while studying geology in University. After graduating, they married and had three children. They've been raising their family together as a team until Bill took on a fly in, fly out geology job in Africa. Because Bill worked away for weeks at a time, Chrissie was stuck single parenting, and the kids rarely saw their father. Done with dad being a stranger in his own home, the family decided to make a major move and relocate to Kumasi, Ghana to live closer to Bill's new job. To absorb the shock of moving away from their comfortable lives in Newcastle, Australia, Bill and Chrissie hoped to find a four-bedroom home with a pool, garden, and good security. But once they arrived they quickly learned their $2,000 a month budget wouldn't cover their wish-list, and swimming pools were few and far between in Kumasi. Find out if the family finds a home that helps them settle in Africa when House Hunters International uncovers new ground in Ghana.",28-Jan-14,S62E12,Geologists Uproot their Kids from Australia to Tackle New Ground in Ghana,12.0,62.0,2014.0,Newcastle,Australia,Kumasi,Ghana,0,"Newcastle, Australia","Kumasi, Ghana",All,"Newcastle, 2300, New South Wales, Australia","Kumasi, Ashanti Region, Ghana",-32.9272881,151.7812534
101,"French stunt woman Karine met her American high wire walker husband Jade when they were both performing with Cirque de Soleil in Orlando, Florida. They got married on a high wire and after relocating to L.A. and living there for six years they decided to move to Gard in the south of France to raise their two sons. Since Karine is French and Jade trained at circus school in France it made perfect sense to return. They packed a twenty foot container and made the move. Their key wishes were to find an old stone house with access to fresh water such as a spring or river, 3 or 4 bedrooms, 2 bathrooms and plenty of outdoor space for Jade's high wire and on which to create an artist's retreat; a dream of Karine's which would allow them to earn money working at home. They also wanted their two young sons to be raised in a more laid-back environment compared to the hustle and bustle of L.A.",26-Jun-11,S24E13,"Former Circus Performers Move to Gard, France",13.0,24.0,2011.0,Los Angeles,United States,Gard,France,0,"Los Angeles, United States","Gard, France",All,"Los Angeles, California, United States","Gard, Occitania, France",34.0536909,-118.242766
102,"After just tying the knot, Kierie, a recent veterinarian graduate, and her French hubby Francois, an environmental engineer, are living in Kierie's old childhood bedroom in Boston. But with their extended stay at mom's house starting to feel cramped, Kierie wants to find vet work in a place she can really make a difference and Francois has always dreamed about exploring French cultures outside mainland France. With their hearts aligned and separate needs in mind, they're choosing the lush, Windward isle of Martinique as the perfect fit for them to settle down on--Kierie can work with the island's needy animals and Francois can enjoy his morning baguettes, baked up daily, on this off-shore department of France. Martinique, however, is also part of the European Union and real estate prices can rival those of Paris! So could tropical house hunting on a newlywed's budget be where this perfect honeymoon ends? Find out, with real estate agent Gregory Donatien, when House Hunters discovers the romance of Martinique's sandy beaches",1-Jan-12,S31E07,Beach Rentals in Martinique,7.0,31.0,2012.0,Boston,United States,Martinique,France,0,"Boston, United States","Martinique, France",All,"Boston, Massachusetts, United States","Martinique, France",42.3554334,-71.060511
103,"Alex is an American expat, who is enjoying life in the Newcastle area of England with her husband Will. Having been born and raised in the U.K., Will is used to the harsh northeast English weather. But, not Alex. So, she convinced him to buy a vacation home in the Abruzzo region of Italy, where the weather is much warmer. With a budget of $211,000, they want to find a home with views of the sea and lots of land. The challenge? As the owner of a construction company, Will is well aware of the pitfalls of home renovation and would rather buy a place that doesn't need a lot of work. Alex, on the other hand, is only concerned with how the house makes her feel. Their real estate agent, Stefania Russo takes them to see three very different homes that range from a complete fixer to a remodeled farmhouse. In the battle between love and money, someone will have to give in. But, who?",8-Aug-10,S17E02,Alex and Her Husband Will Want to Escape the Dreary Weather in England By Buying a Vacation Home in the Abruzzo Region of Italy,2.0,17.0,2010.0,Newcastle,England,Abruzzo,Italy,0,"Newcastle, England","Abruzzo, Italy",All,"Newcastle upon Tyne, England, United Kingdom","Abruzzo, Italy",54.9738474,-1.6131572
