index,ep_summary,air_date,ep_nums,ep_title,episode,season,year,MoveFromCity,MoveFromCountry,MoveToCity,MoveToCountry,NumBlanks,Origin,Destination,GeoCategory,lat_orig,lon_orig,lat_dest,lon_dest,distance_km,Skip,InputDataKey
11,"Newlyweds Sally and Scot McLellan love the location of their one-bedroom flat in Glasgow, Scotland, but after two years of renting, they are ready to buy a place of their own. Though they adore being minutes away from their gym, shopping and friends, the McLellans have outgrown their cramped space and have decided to find a place with more room in one of the surrounding towns. Real estate agent Tony Walsh signs on to help with the search.",15-May-06,S01E11,Settling in Scotland,11,1,2006,Glasgow,Scotland,Glasgow,Scotland,0,"Glasgow, Scotland","Glasgow, Scotland",All,55.861155,-4.2501687,55.861155,-4.2501687,0,Can get data,0
12,"Claire and Russell Higgins live in two-bedroom house in the charming city of Edinburgh, Scotland, with their 5-year old daughter, Beth. With another baby on the way, the couple is ready to move into a bigger place with more storage space and a better location. Claire's boss, real estate agent Donna Paterson-Harvie, hopes to help them find a new home in the competitive Edinburgh real estate market before the baby arrives.",22-May-06,S01E12,Edinburgh Expansion,12,1,2006,Edinburgh,Scotland,Edinburgh,Scotland,0,"Edinburgh, Scotland","Edinburgh, Scotland",All,55.9533456,-3.1883749,55.9533456,-3.1883749,0,Can get data,0
13,"Water lovers Debbie and Steven Cervantes were nearly finished remodeling their five-bedroom house in Huntington Beach, Calif., when they took a brief vacation to a Caribbean island off the coast of Honduras called Roatan. Charmed by the simpler lifestyle Roatan has to offer, they have decided to move there with their sons Deven and Cole. They have asked Roatan real estate agent Mary M. Monterroso for help in finding a house that has a lot of land, beach and water access, plus a pool, all for about $500,000.",12-Jun-06,S01E13,Roatan Relocation,13,1,2006,"Huntington Beach, California",United States,Roatan,Honduras,0,"Huntington Beach, California","Roatan, Honduras",All,33.6783336,-118.0000166,16.3274234,-86.53648146,3688.01,Can get data,0
14,"Stacey Jones is a transplant from England who moved to Amsterdam for a change of pace. She has been living with roommates in a rented apartment close to the city center, but the apartment is being sold and she can't afford to purchase it. She has decided to leave renting behind and strike out on her own by purchasing something she can afford. Real estate agent Johann Overeem signs on to help with her search.",7-Mar-06,S02E01,Amsterdam Apartment Aspirations,1,2,2006,,England,Amsterdam,Netherlands,1,,"Amsterdam, Netherlands",Missing Origin City,,,52.3730796,4.8924534,,Can not get data,0
15,"Newlyweds Berenice and Log hopes to run for city council. They would like a larger place with two bedrooms in a historic Parisian building. They realize that a flat in the center of Paris with their $480000 (US) budget will be difficult so they've asked agent Jerome Cacarie to shine the way in the city of lights.""",16-Oct-06,S02E02,Going Larger in the City of Lights,2,2,2006,Paris,France,Paris,France,0,"Paris, France","Paris, France",All,48.8588897,2.320041022,48.8588897,2.320041022,0,Can get data,0
16,"Romayne Wright, originally from England, is a single career woman who now rents a place in Paris' artistic neighborhood district. She works in marketing for an auto company and is on the road five days a week. When she is at home, though, she loves the neighborhood and has recently decided to make it her permanent home. She likes her one-bedroom rental and would buy it if she could, but it's not for sale. She's on the hunt for a unit with high ceilings and would love a bathtub so she can really unwind when at home. Room for a home office and more living space are also on the top of her wish list. Relocation expert Tanya Halton tackles the challenge.",17-Jul-06,S02E03,Wanted: Permanent Parisian Pad,3,2,2006,Paris,France,Paris,France,0,"Paris, France","Paris, France",All,48.8588897,2.320041022,48.8588897,2.320041022,0,Can get data,0
17,"Kate and Matt Shaw are always on the move. He's busy with a booming real estate business, and her days are filled with toting around their two small sons, Luke and Justin. Although they live near the beach in Jupiter, Fla., their day-to-day lives leave little time for surfer Matt to catch a wave, or for the family to have quality time together. They are ready to buy a vacation home in the Central American country of Costa Rica. Real estate agents Lourdes Brechu and Patrick Heaney hope to help the Shaws find a place where they can go to slam the brakes on their normally crazy pace.",13-Oct-06,S02E05,Costa Rican Getaway Goal,5,2,2006,"Jupiter, Florida",United States,,Costa Rica,1,"Jupiter, Florida",,Missing Destination City,,,,,,Can not get data,0
18,"Dennis Seisun moved to San Diego, Calif., after becoming fed up with the constant rain in his home country of Belgium. He and wife Verena raised two children in San Diego and took advantage of all the sunshine and freedom the area has to offer. But now home prices in San Diego are skyrocketing, and he has convinced the family that it's time to make a bold move south of the border. Real estate agent John Anderson signs on to help them find a casa nueva in La Paz, Mexico.",11-Sep-06,S02E06,Leaving for La Paz,6,2,2006,"San Diego, California",United States,La Paz,Mexico,0,"San Diego, California","La Paz, Mexico",All,32.7174202,-117.1627728,19.36376855,-98.9463136,2342.17,Can get data,0
19,"Samuel Bate is a charming 30-something Parisian who has been wanted to start his life over for the last three years. After a breakup left him alone and in need of a place to live, he rented a tiny studio apartment far from the heart of Paris. Now he wants to buy a new apartment in a trendy neighborhood in Paris that is more suited for a bachelor who wants more space and in an area where there is more to do. He would like to find a home that has at least one bedroom, parking and a nice kitchen. Real estate agent Marie Sarro signs on to help with the search.",31-Jul-06,S02E07,Getting Trendy in Paris,7,2,2006,Paris,France,Paris,France,0,"Paris, France","Paris, France",All,48.8588897,2.320041022,48.8588897,2.320041022,0,Can get data,0
20,A retired couple searched for a home on the tropical island of St. Maarten,25-Sep-06,S02E08,Retiring to the Islands,8,2,2006,,,,St. Maarten,3,,,Destination Country,,,,,,Can not get data,0
21,"Sergio Lucchesi and wife Jane Wertheimer decided to raise their three children, Chiara, Gabbriella, and Leonardo, in the medieval Tuscan town of Greve-in-Chianti. The family lives in a century-old farmhouse that has been divided into three private villas, each with an incredible view of the famous Tuscan countryside. Unfortunately, they share more than the view with the neighbors--they also share walls, the yard and the driveway. After nine years, they are ready to move their family into a stand-alone house with lots of land, a pool and that same amazing view. They are hoping to find the right home within their budget, and realtor Marinella Coppi intends to help with the hunt.",30-Jul-06,S02E09,Time for Tuscan Home of Their Own,9,2,2006,Greve-in-Chianti,Italy,Greve-in-Chianti,Italy,0,"Greve-in-Chianti, Italy","Greve-in-Chianti, Italy",All,43.5824597,11.3168731,43.5824597,11.3168731,0,Can get data,0
22,"Rachel and John Atkinson have been married for five years, and have five children. While the couple loves their current home in Buxton, England, they need more outdoor space for their kids to run around. They're also looking for room to build a small cottage for Rachel's mom, who could use the convenience of having her family close by. Hoping to spend about $450,000 American dollars, this couple is looking for something with lots of charm, character and potential and a minimum of four bedrooms. Real estate agent Deborah Hollamby has three very different properties to show the and couple, and is convinced she can help them find their ideal Buxton home.",23-Oct-06,S02E10,Bursting at the Seams in Buxton,10,2,2006,Buxton,England,Buxton,England,0,"Buxton, England","Buxton, England",All,53.2593422,-1.9100768,53.2593422,-1.9100768,0,Can get data,0
23,"Jenny and James Tweats have been married for seven years and have two little boys, 5-year-old Ben and 3-year-old Sam. The Tweats currently live in a four-bedroom, three-bathroom house in the quiet and beautiful village of Alsager, England. Jenny wants to cut back on the hours she spends teaching school to have more time with her boys, so with less money coming in, they'll need a new home with a lower monthly payment. The Tweats are willing to compromise on space but not on the location they want to stay in Alsager. They've hired real estate agent Deborah Hollamby to help them with their search.""",18-Sep-06,S02E11,"Same Town, Smaller Home",11,2,2006,Alsager,England,Alsager,England,0,"Buxton, England","Alsager, England",All,53.0960614,-2.3046307,53.0960614,-2.3046307,0,Can get data,0
24,"Newlyweds Allison Poulos, a Connecticut native, and Massimo Salerno, an Italian native, are excited to begin their lives together in Rome, Italy, but right now they are living with Massimo's mother, Elsa, in her small flat on the outskirts of the city. The pair need more space for themselves, their wedding gifts, and their dog, Finley, and they want to live much closer to the historic center of Rome. Unfortunately, flats are historically hard to come by there, and are often snatched off the market in days. Agent Marina Carboni signs on to help with the search.",2-Mar-07,S02E12,Relocating to Rome,12,2,2007,Rome,Italy,Rome,Italy,0,"Rome, Italy","Rome, Italy",All,41.8933203,12.4829321,41.8933203,12.4829321,0,Can get data,0
25,"Brenda and David Goodstone have been married for 10 years and live with their sons in a suburb of Auckland, New Zealand. Five years ago they sold their first home and moved their family into a four-bedroom rental so they could afford to buy a caf for a profit. Now they want to find a house in the popular beach town of Orewa for their twin boys  Blake and Aaron  to call home. They want at least five bedrooms  a garage and space for a pool. Real estate Brett Bogue signs on to help the Goodstones with their quest.""",1-Jan-07,S02E13,Outward to Orewa,13,2,2007,Auckland,New Zealand,Orewa,New Zealand,0,"Auckland, New Zealand","Orewa, New Zealand",All,-36.852095,174.7631803,-36.60129,174.69601,28.52,Can get data,0
26,Follow an American art student searching for a space to spread his creativity in Stockholm Sweden.,25-Mar-07,S03E01,Searching for Stockholm Space,1,3,2007,,United States,Stockholm,Sweden,1,,"Stockholm, Sweden",Missing Origin City,,,59.3251172,18.0710935,,Can not get data,0
27,Join a couple searching for the perfect tropical respite from their otherwise hectic lives.,15-Apr-07,S03E02,Escape to Costa Rica,2,3,2007,,,,Costa Rica,3,,,Destination Country,,,,,,Can not get data,0
28,"Two bedrooms; two baths; by the beach; for only $200,000? Now that's a tall order!",5-Feb-07,S03E03,More Space in St. Maarten,3,3,2007,,,,St. Maarten,3,,,Destination Country,,,,,,Can not get data,0
29,"Christine Morden has enjoyed her fast-paced life as a political attorney in Washington, D.C., but after a decade, she's ready to ditch public policy to pursue her lifelong passion of photography in a new tropical island dream home. She is looking for a spacious condo in the Caribbean islands of Turks &amp; Caicos. She wants to be close to the beach and have a great view for less than $250,000. She enlists real estate agent Lavern Skippings to help with the search.",11-Feb-07,S03E04,Turks &amp; Caicos Condo Search,4,3,2007,"Washington, DC",United States,Turks & Caicos,Caribbean,0,"Washington, DC","Turks & Caicos, Caribbean",All,38.8950368,-77.0365427,21.78236315,-72.24774859,1956.73,Can get data,0
30,"World traveler and artist Malaya Quinn and her teenage daughter, Grace, have been living in northern California for the last 13 years, but they are beginning to feel a little restless and in need of a change of scenery. In a past visit to the Yucatan, they were really taken by the town of Merida so much so that they have decided to move down there and buy a place. Enter real estate agent Paula Sievert  who is pretty confident that she can find a small Colonial within their budget in the historic part of Merida.""",1-Apr-07,S03E05,Making the Move to Mexico,5,3,2007,California,United States,Merida,Mexico,0,"California, United States","Merida, Mexico",All,36.7014631,-118.755997,20.9670759,-89.6237402,3312.9,Can get data,0
31,"Most of the time, Clara and Alex Thole enjoy the breathtaking view of Puget Sound from their Mediterranean-style home in Mukilteo, Wash. Their other days are spent discovering destinations across the country and around the world. For Clara, one location holds a special place in her heart -- Montoggio, Italy, the home of her heritage. Hoping to reconnect with her Italian roots, the Tholes have given themselves a budget of $200,000 and three weeks to find their own piece of Italy.",30-Apr-07,S03E06,Second Home in Italy,6,3,2007,"Mukilteo, Washington",United States,Montoggio,Italy,0,"Mukilteo, Washington","Montoggio, Italy",All,47.9474034,-122.3036992,44.5154356,9.0442742,8691.78,Can get data,0
32,"John Dalrymple, an engineer, and his wife Rina, a potter, rent a tiny 19th-century cottage outside Amsterdam, Holland. After three years they have come to the realization that the place is simply too small for all of their stuff. They have decided to pack up their home and head south all the way south to Italy! They have discovered the small hilltop town of Guardia Lombardi. The charming town overlooks chestnut trees  farms and vineyards and has a population of just over 1000 people. Real estate agent Annie Temple thinks she can help find something ideal for this couple.""",25-Feb-07,S03E07,Heading South to Italy,7,3,2007,Amsterdam,Netherlands,Guardia Lombardi,Italy,0,"Amsterdam, Netherlands","Guardia Lombardi, Italy",All,52.3730796,4.8924534,40.9538172,15.2091799,1490.72,Can get data,0
33,"After nine years of living the laid-back lifestyle in the resort seaside town of Punta Del Este, Uruguay, Patricia Giuria and husband Pablo Tringolo are ready to pick up the pace by moving 200 miles southwest to Buenos Aires, Argentina. They are looking for a place that's big enough for their two dogs, Bob and Maximo, and is within walking distance to Giuria's new job. Real estate agent Armando Terzakyan tackles the challenge.",11-Mar-07,S03E08,Buenos Aires Bound,8,3,2007,Punta Del Este,Uruguay,Buenos Aires,Argentina,0,"Punta Del Este, Uruguay","Buenos Aires, Argentina",All,-34.9632342,-54.9439981,-34.6075682,-58.4370894,321.43,Can get data,0
34,"Mercy and Joe Flak would like to find a home on Aruba with more space than the 1,900 square feet they currently have. With their daughters Kiana, 6 and Kyra, 3, plus Mercy's sister Myrna living with them, they have a lot of needs to meet. They need at least four bedrooms and plenty of space for the girls' all-consuming toy collection. They would also love to have a great ocean view and golf course access. They decide to look in the exclusive Tierra del Sol golf club and have asked sales agent Bob Elwood for help.",9-Feb-07,S03E09,New Aruban Address,9,3,2007,,,,Aruba,3,,,Destination Country,,,,,,Can not get data,0
35,"Inspired by several Hollywood films showcasing New Zealand's beautiful terrain, California natives Cathie and Mike Koosmann decided to visit the country and see it for themselves. They loved visiting the area of Auckland called Whangarei so much that they decided to make a huge life change and move there. They called local real estate agent Suzie Jones to help them find a piece of property with lots of land, an ocean view and plenty of ""living"" space. Relocating to one of the least-populated countries in the world has many challenges, but the Koosmans are ready for the tasks ahead.",18-Feb-07,S03E10,New to New Zealand,10,3,2007,California,United States,Whangarei,New Zealand,0,"California, United States","Whangarei, New Zealand",All,36.7014631,-118.755997,-35.7275268,174.3194202,10606.55,Can get data,0
36,"Deneen and Brian Wargo make their living working in water, specifically the warm waters of Hawaii. She helms a submarine for a tourism company, and he works for a tourist fishing company. Although they like living close to the water in their two-bedroom, two-bath condo, this active couple is running out of space. One visit to Costa Rica and neighboring Nicaragua opened their eyes to new opportunities and new surf to explore. With just as much beautiful scenery, a cheaper cost of living and a growing Nicaraguan tourism market, the city of Managua is the place where this couple wants to drop their next anchor. Real estate agent and fellow surfer, Barry Oliver, signs on to help this couple find a place that suits their needs.",4-Mar-07,S03E11,Moving to Managua,11,3,2007,Hawaii ,United States,Managua,Nicaragua,0,"Hawaii , United States","Managua, Nicaragua",All,19.5938015,-155.4283701,12.1544035,-86.2737642,7397.36,Can get data,0
37,"Jenny and Matthew Pragnell and their three sons have lived in a two-story town home in Kingston, Jamaica, for seven years. Now that their three boys aren't so little anymore, it's time for a bigger house. The Pragnells are renters, not owners, so making changes to their home is not allowed. They are eager to jump into the Kingston real estate market, but they have a limited budget and there is little inventory of homes for purchase. It's not uncommon in Kingston for potential buyers to wait a full year for their ideal home to become available. Real estate agent Allison Machado certainly has her work cut out for her.",18-Mar-07,S03E12,Looking to Own in Jamaica,12,3,2007,Kingston,Jamaica,Kingston,Jamaica,0,"Kingston, Jamaica","Kingston, Jamaica",All,17.9712148,-76.7928128,17.9712148,-76.7928128,0,Can get data,0
38,"Scott MacDonald and Graham Renwick, both in their mid 20s, grew up just outside of Edinburgh, Scotland, and have known each other almost their whole lives. They are best friends, and enjoy typical Scottish 20-something activities such as frequenting the city's pubs and playing football on weekends. While they love the small town where they live, they both still live with their parents, and are starting to crave more independence. With Edinburgh's property market on the rise, it's nearly impossible for young people just starting their careers to make that first step up the property ladder. That's why they have decided to go in together on the purchase of a flat. Real estate agent Bill Goodall will assist in the hunt.",8-Apr-07,S03E13,Flatmates in Scotland,13,3,2007,Edinburgh,Scotland,Edinburgh,Scotland,0,"Edinburgh, Scotland","Edinburgh, Scotland",All,55.9533456,-3.1883749,55.9533456,-3.1883749,0,Can get data,0
39,"Explore Cabo San Lucas, Mexico with a pair of newlyweds excited to be starting their lives together.",13-Jul-07,S04E01,Nesting in Cabo,1,4,2007,,,Cabo San Lucas,Mexico,2,,"Cabo San Lucas, Mexico",All Destination,,,22.8938884,-109.92006,,Can not get data,0
40,Join a soon-to-be married couple in their search for the perfect Paris palais.,20-Jul-07,S04E02,Settling Down in Paris,2,4,2007,,,Paris,France,2,,"Paris, France",All Destination,,,,,,Can not get data,0
41,Explore the City of Lights in search of a cozy chateau for two.,27-Jul-07,S04E03,Wanted: City of Lights Chateau,3,4,2007,,,Paris,France,2,,"Paris, France",All Destination,,,,,,Can not get data,0
42,After a visit to Barcelona turned into a 3 year stay it's time to settle down and buy a home.,14-Sep-07,S04E04,Casa in Spain,4,4,2007,,,Barcelona,Spain,2,,"Barcelona, Spain",All Destination,,,,,,Can not get data,0
43,"With a budget of $200,000, can she find a beach house in the Mexican resort town of Cabo San Lucas?",24-Aug-07,S04E05,Cabo San Lucas,5,4,2007,,,Cabo San Lucas,Mexico,2,,"Cabo San Lucas, Mexico",All Destination,,,22.8938884,-109.92006,,Can not get data,0
44,"She followed her dreams to Paris and found love. Now, follow her on her quest to find a home.",31-Aug-08,S04E06,Paris Dreams,6,4,2008,,,Paris,France,2,,"Paris, France",All Destination,,,,,,Can not get data,0
45,"Follow a family who, after moving 8 times in 11 years, needs a place they can settle into for good.",5-Oct-07,S04E07,Moving Up Down Under,7,4,2007,,,,Australia,3,,,Destination Country,,,,,,Can not get data,0
46,Explore the ruins of a Portuguese seaside town with a couple determined to live in one.,28-Sep-07,S04E08,Life in Ruins,8,4,2007,,,,Portugal,3,,,Destination Country,,,,,,Can not get data,0
47,"They're ready to pack up for Portugal. See what kind of house $200,000 will buy in Portugal.",17-Aug-07,S04E09,"Goodbye Fresno, Hello Portugal",9,4,2007,"Fresno, California",United States,,Portugal,1,"Fresno, California",,Missing Destination City,,,,,,Can not get data,0
48,"Follow our couple out of the cold and into a new home in warm, sunny Spain.",21-Sep-07,S04E10,Dreams of Spain,10,4,2007,,,,Spain,3,,,Destination Country,,,,,,Can not get data,0
49,"An adventurous real estate investor wants to buy a house in Tuscany. What can she buy for $400,000?",10-Aug-07,S04E11,A Taste of Tuscany,11,4,2007,,,,Italy,3,,,Destination Country,,,,,,Can not get data,0
50,The island of Turks and Caicos is growing like crazy. Can this family find another peaceful home?,3-Aug-07,S04E12,Turks and Caicos,12,4,2007,,,Turks & Caicos,Caribbean,2,,"Turks & Caicos, Caribbean",All Destination,,,,,,Can not get data,0
51,Follow a couple of empty nesters down Panama way to find a new home and their next adventure.,7-Sep-07,S04E13,"Oh, Panama",13,4,2007,,Panama,,Panama,2,,,Country to Country,,,,,,Can not get data,0
52,Join a Hong Kong business woman's search for new digs nearer the heart of the city.,4-Jan-08,S05E01,Bye-Bye Beach House,1,5,2008,Hong Kong,China,Hong Kong,China,0,"Hong Kong, China","Hong Kong, China",All,22.2793278,114.1628131,22.2793278,114.1628131,0,Can get data,0
53,Escape with a busy Buenos Aires entrepreneur seeking a vacation retreat in Uruguay.,11-Jan-08,S05E02,Away to Uruguay,2,5,2008,Buenos Aires,Argentina,,Uruguay,1,"Buenos Aires, Argentina",,Missing Destination City,,,,,,Can not get data,0
54,"Follow our newlyweds as they search for a home in warm, sunny Spain.",18-Jan-08,S05E03,Spain Is Calling,3,5,2008,,,,Spain,3,,,Destination Country,,,,,,Can not get data,0
55,"Join a couple in Mazatlan, Mexico, to search for the perfect tropical getaway.",25-Jan-08,S05E04,Moving to Mazatlan,4,5,2008,,,Mazatlan,Mexico,2,,"Mazatlan, Mexico",All Destination,,,,,,Can not get data,0
56,A young couple wants to move from New Jersey to Costa Rica and open their very own B&amp;B.,6-Jul-08,S05E05,Costa Rica Bound,5,5,2008,New Jersey,United States,,Costa Rica,1,"New Jersey, United States",,Missing Destination City,,,,,,Can not get data,0
57,"They want to trade in their small, rustic house in Spain for a more modern home closer to the city.",1-Feb-08,S05E06,Remain In Spain,6,5,2008,,Spain,,Spain,2,,,Country to Country,,,,,,Can not get data,0
58,"They want to trade in the bright lights of Las Vegas for a more peaceful life in La Paz, Mexico.",8-Feb-08,S05E07,Leaving Las Vegas,7,5,2008,"Las Vegas, Nevada",United States,La Paz,Mexico,0,"Las Vegas, Nevada","La Paz, Mexico",All,36.1672559,-115.148516,19.36376855,-98.9463136,2448.53,Can get data,0
59,"They want to trade in their big house in Florida for a smaller home in Cabo San Lucas, Mexico.",15-Feb-08,S05E08,"Hola, Mexico!",8,5,2008,Florida,United States,Cabo San Lucas,Mexico,0,"Florida, United States","Cabo San Lucas, Mexico",All,27.7567667,-81.4639835,22.8938884,-109.92006,2903.93,Can get data,0
60,We'll follow one man's search for the ultimate in waterfront living in the balmy Bahamas.,22-Feb-08,S05E09,Bahama Beachfront,9,5,2008,,,,Bahamas,3,,,Destination Country,,,,,,Can not get data,0
61,We'll follow one couple's bold move from Texas to Belize.,1-Mar-13,S05E10,Casa de Belize,10,5,2013,Texas,United States,,Belize,1,"Texas, United States",,Missing Destination City,,,,,,Can not get data,0
62,We'll follow one couple's search for a beach home in Nicaragua.,7-Mar-08,S05E11,Nicaraguan Waterfront,11,5,2008,,,,Nicaragua,3,,,Destination Country,,,,,,Can not get data,0
63,"They're tired of New York winters, so the search is on for a vacation home in Honduras.",14-Mar-08,S05E12,A Honduran Hacienda,12,5,2008,"New York, New York",United States,,Honduras,1,"New York, New York",,Missing Destination City,,,,,,Can not get data,0
64,A Chicago native is ready for some beachfront living in sunny Costa Rica.,21-Mar-08,S05E13,Casa de Costa Rica,13,5,2008,"Chicago, Illinois",United States,,Costa Rica,1,"Chicago, Illinois",,Missing Destination City,41.8755616,-87.6244212,,,,Can not get data,0
65,Join a family's search for the perfect home by a bay in Baja.,14-Sep-08,S06E01,Baja Bound,1,6,2008,,,Baja California,Mexico,2,,"Baja California, Mexico",All Destination,,,,,,Can not get data,0
66,"Impressed with Panama's environmental policies, a couple is drawn to Panama City.",20-Jul-08,S06E02,Panama City,2,6,2008,,,Panama City,Panama,2,,"Panama City, Panama",All Destination,,,8.9714493,-79.5341802,,Can not get data,0
67,Join an avid diver in his search for a second home on the island of Roatan.,17-Aug-08,S06E03,Dive In,3,6,2008,Roatan,Honduras,Roatan,Honduras,0,"Roatan, Honduras","Roatan, Honduras",All,16.3274234,-86.53648146,16.3274234,-86.53648146,0,Can get data,0
68,Join a couple looking for the perfect place to retire in the sunny Portuguese countryside.,24-Aug-08,S06E04,Sunny Portugal,4,6,2008,,,,Portugal,3,,,Destination Country,,,,,,Can not get data,0
69,Follow a couple back to Budapest to buy a second home in their home country.,10-Aug-08,S06E05,Home Again,5,6,2008,,Budapest,,Budapest,2,,,Country to Country,,,,,,Can not get data,0
